SERIESNAME,LBMNU,LBCPU,LBOUTU,FM2,FYFF,P16,IPXMCA
 1960:2,62.3,14.3,51.8,301.1,3.696666667,117036.6667,81.318
 1960:3,61.9,14.3,52,306.4666667,2.936666667,117411,78.89866667
 1960:4,61.2,14.4,51.4,310.9333333,2.296666667,117824.3333,75.85233333
 1961:1,60.8,14.6,52.1,316.3,2.003333333,118254.3333,73.82833333
 1961:2,60.7,14.8,53.5,322.1333333,1.733333333,118636,76.35433333
 1961:3,61.1,14.9,54.2,327.5666667,1.683333333,119000.6667,78.41433333
 1961:4,61.8,15,54.8,333.3333333,2.4,119189.6667,80.641
 1962:1,62,15.3,55.8,340.2333333,2.456666667,119378.6667,81.18633333
 1962:2,62.8,15.3,55.6,347.4333333,2.606666667,119819.3333,81.33566667
 1962:3,62.7,15.4,56.3,352.8333333,2.846666667,120368,81.56
 1962:4,62.2,15.6,56.7,359.9,2.923333333,121045.6667,81.63433333
 1963:1,62.5,15.8,57.1,367.9333333,2.966666667,121640,82.31566667
 1963:2,63,15.8,57.6,375.9333333,2.963333333,122166.6667,83.783
 1963:3,63.2,16,58.8,383.5666667,3.33,122669.6667,83.55633333
 1963:4,63.6,16.2,58.8,391,3.453333333,123188.6667,84.20366667
 1964:1,64,16.4,60.2,397.5333333,3.463333333,123708,84.49533333
 1964:2,64.4,16.6,60.6,404.3333333,3.49,124203,85.54466667
 1964:3,64.7,16.8,61.1,413.4666667,3.456666667,124739.3333,86.05666667
 1964:4,65.4,16.9,60.3,421.9666667,3.576666667,125289,86.49166667
 1965:1,66.4,17,61.3,430.3666667,3.973333333,125814,88.86633333
 1965:2,67,17.1,61.7,437.5333333,4.076666667,126324.6667,89.398
 1965:3,67.1,17.3,62.8,446.0666667,4.073333333,126745,89.90233333
 1965:4,67.9,17.5,63.8,455.8333333,4.166666667,127169.3333,89.98366667
 1966:1,68.9,17.8,64.8,464.6,4.556666667,127511.3333,91.11933333
 1966:2,69.5,18.1,64.5,470.2,4.913333333,127868.6667,91.567
 1966:3,69.9,18.4,64.4,472.9666667,5.41,128233.6667,91.24366667
 1966:4,69.7,18.6,64.8,477.7333333,5.563333333,128617,90.59066667
 1967:1,69.5,18.9,65.5,485.4666667,4.823333333,129043.6667,88.58433333
 1967:2,69.1,19.2,65.7,497.1,3.99,129527,86.77866667
 1967:3,69.4,19.4,65.9,510.6,3.893333333,130165.6667,85.95433333
 1967:4,69.8,19.7,66,521.4,4.173333333,130757.3333,87.303
 1968:1,69.9,20.2,67.5,530.3333333,4.786666667,131267,87.32466667
 1968:2,70.7,20.6,68.1,539.0666667,5.98,131712.3333,87.27366667
 1968:3,71.3,20.9,67.9,549.5333333,5.943333333,132250,86.66533333
 1968:4,71.7,21.3,67.8,562.2666667,5.916666667,132880,87.089
 1969:1,72.4,21.6,68.4,571.8666667,6.566666667,133476,87.65866667
 1969:2,73,21.9,67.9,576.9,8.326666667,134020.3333,86.90866667
 1969:3,73.4,22.3,67.8,580.5666667,8.983333333,134595,86.82533333
 1969:4,73.1,22.8,67.5,585.5666667,8.94,135246.6667,85.157
 1970:1,72.9,23.2,67.7,587.6666667,8.573333333,135949.6667,81.82066667
 1970:2,72,23.5,68.7,591.6666667,7.88,136676.6667,80.42166667
